variable,x,y
Surface.Temperature.Max,-5.385005712509155,2.0058926111232722E-6
Surface.Temperature.Max,-5.297525718688965,2.0748955193994334E-6
Surface.Temperature.Max,-5.210045724868775,2.146272208847222E-6
Surface.Temperature.Max,-5.122565731048584,2.2201040792424465E-6
Surface.Temperature.Max,-5.0350857372283935,2.2964759409660473E-6
Surface.Temperature.Max,-4.947605743408203,2.3754748781357193E-6
Surface.Temperature.Max,-4.860125749588013,2.457191385474289E-6
Surface.Temperature.Max,-4.772645755767822,2.5417186861886876E-6
Surface.Temperature.Max,-4.685165761947632,2.62915386883833E-6
Surface.Temperature.Max,-4.597685768127441,2.7195969778404105E-6
Surface.Temperature.Max,-4.510205774307251,2.8131514682172565E-6
Surface.Temperature.Max,-4.4227257804870606,2.9099239782226505E-6
Surface.Temperature.Max,-4.33524578666687,3.0100256935838843E-6
Surface.Temperature.Max,-4.24776579284668,3.1135703011386795E-6
Surface.Temperature.Max,-4.160285799026489,3.220677172066644E-6
Surface.Temperature.Max,-4.072805805206299,3.331468860778841E-6
Surface.Temperature.Max,-3.985325811386108,3.4460715596651426E-6
Surface.Temperature.Max,-3.897845817565918,3.564616690709954E-6
Surface.Temperature.Max,-3.8103658237457276,3.687239313876489E-6
Surface.Temperature.Max,-3.722885829925537,3.814080628217198E-6
Surface.Temperature.Max,-3.6354058361053467,3.945285243389662E-6
Surface.Temperature.Max,-3.5479258422851565,4.081002771272324E-6
Surface.Temperature.Max,-3.460445848464966,4.221389644953888E-6
Surface.Temperature.Max,-3.3729658546447756,4.366605480754515E-6
Surface.Temperature.Max,-3.285485860824585,4.516817170951981E-6
Surface.Temperature.Max,-3.1980058670043947,4.672195245802868E-6
Surface.Temperature.Max,-3.110525873184204,4.8329193305107765E-6
Surface.Temperature.Max,-3.023045879364014,4.9991717787634116E-6
Surface.Temperature.Max,-2.935565885543823,5.171143129700795E-6
Surface.Temperature.Max,-2.848085891723633,5.349030743673211E-6
Surface.Temperature.Max,-2.7606058979034422,5.533037437999155E-6
Surface.Temperature.Max,-2.673125904083252,5.723373305954738E-6
Surface.Temperature.Max,-2.5856459102630613,5.920257535763085E-6
Surface.Temperature.Max,-2.498165916442871,6.123914772615535E-6
Surface.Temperature.Max,-2.4106859226226804,6.3345769376610406E-6
Surface.Temperature.Max,-2.32320592880249,6.5524864112376235E-6
Surface.Temperature.Max,-2.2357259349823,6.777891940146219E-6
Surface.Temperature.Max,-2.1482459411621093,7.011050911387429E-6
Surface.Temperature.Max,-2.060765947341919,7.252231171150925E-6
Surface.Temperature.Max,-1.9732859535217284,7.501707841583993E-6
Surface.Temperature.Max,-1.8858059597015382,7.75976604927564E-6
Surface.Temperature.Max,-1.7983259658813475,8.026701834751293E-6
Surface.Temperature.Max,-1.7108459720611573,8.14863324194448E-6
Surface.Temperature.Max,-1.6233659782409666,8.446107131021563E-6
Surface.Temperature.Max,-1.5358859844207764,8.789964340394363E-6
Surface.Temperature.Max,-1.4484059906005857,9.147649507212918E-6
Surface.Temperature.Max,-1.360925996780396,9.505601155979093E-6
Surface.Temperature.Max,-1.2734460029602053,9.832593605096918E-6
Surface.Temperature.Max,-1.1859660091400146,1.0170833775191568E-5
Surface.Temperature.Max,-1.098486015319824,1.0520709111005999E-5
Surface.Temperature.Max,-1.0110060214996341,1.0882620699703693E-5
Surface.Temperature.Max,-0.9235260276794435,1.1256982361373957E-5
Surface.Temperature.Max,-0.8360460338592528,1.1644220649031922E-5
Surface.Temperature.Max,-0.7485660400390621,1.2044781215081457E-5
Surface.Temperature.Max,-0.6610860462188723,1.2459120625862852E-5
Surface.Temperature.Max,-0.5736060523986817,1.2887711818621028E-5
Surface.Temperature.Max,-0.486126058578491,1.3331047739484347E-5
Surface.Temperature.Max,-0.3986460647583012,1.3789634067506995E-5
Surface.Temperature.Max,-0.31116607093811055,1.4263995581131894E-5
Surface.Temperature.Max,-0.22368607711791988,1.4754675248696003E-5
Surface.Temperature.Max,-0.1362060832977292,1.5262232409440912E-5
Surface.Temperature.Max,-0.048726089477539425,1.578725095896516E-5
Surface.Temperature.Max,0.038753904342651246,1.6330330254277214E-5
Surface.Temperature.Max,0.12623389816284192,1.6892090570763685E-5
Surface.Temperature.Max,0.2137138919830326,1.7473174011684023E-5
Surface.Temperature.Max,0.30119388580322237,1.807424814614933E-5
Surface.Temperature.Max,0.38867387962341304,1.8695998733164743E-5
Surface.Temperature.Max,0.4761538734436037,1.9339136997587048E-5
Surface.Temperature.Max,0.5636338672637944,2.0004397811135277E-5
Surface.Temperature.Max,0.6511138610839842,2.069254514935892E-5
Surface.Temperature.Max,0.7385938549041748,2.1404362996690907E-5
Surface.Temperature.Max,0.8260738487243655,2.2140666260384023E-5
Surface.Temperature.Max,0.9135538425445553,2.2902298951521516E-5
Surface.Temperature.Max,1.001033836364746,2.369013054703828E-5
